h h1nat hybridstab
2.999999999999999889e-01 3.289311120435756686e-01 3.234131192865318805e-01
1.999999999999999833e-01 2.086562338723403909e-01 2.057386355744285356e-01
1.000000000000000056e-01 9.870393097483785849e-02 9.823659854787311629e-02
9.700000000000000289e-02 9.764585235839795541e-02 9.739425282813615747e-02
9.400000000000000022e-02 9.185638081513430864e-02 9.182553941873083936e-02
9.099999999999999756e-02 8.964796435863064961e-02 8.930225581721494554e-02
8.800000000000000877e-02 8.867848336504691176e-02 8.853702427750788362e-02
8.500000000000000611e-02 8.337824069204430311e-02 8.337358046951059976e-02
8.200000000000000344e-02 8.042238688949295000e-02 8.020734059262336901e-02
7.900000000000000078e-02 7.641048565681436699e-02 7.620741671646981408e-02
7.599999999999999811e-02 7.446996968764017788e-02 7.432305293724128514e-02
7.300000000000000933e-02 7.041803832821859344e-02 7.038403764571966870e-02
7.000000000000000666e-02 6.941595371558922922e-02 6.928794611911442969e-02
6.700000000000000400e-02 6.518286609104861906e-02 6.504668485635292652e-02
6.400000000000000133e-02 6.210529957141561891e-02 6.210848732040569198e-02
6.099999999999999867e-02 6.020975835088980543e-02 6.013824896583281482e-02
5.799999999999999600e-02 5.749914180207865710e-02 5.743034813935307681e-02
5.500000000000000028e-02 5.414393927391718958e-02 5.408427254511389420e-02
5.199999999999999761e-02 5.124307811905455534e-02 5.120149606440112938e-02
4.899999999999999495e-02 4.817328893024746400e-02 4.813958677389664625e-02
4.599999999999999922e-02 4.433646636579089556e-02 4.430469756918765240e-02
4.299999999999999656e-02 4.190222564729571830e-02 4.188099824766099849e-02
3.999999999999999389e-02 3.896044454701780291e-02 3.894043073677042749e-02
3.699999999999999123e-02 3.587026273556324918e-02 3.585433439369090092e-02
3.399999999999998856e-02 3.330401394366291207e-02 3.329210261466205439e-02
3.099999999999999978e-02 3.028322744517086829e-02 3.027380147760687368e-02
2.799999999999999711e-02 2.702439093648719912e-02 2.701810080498658062e-02
2.499999999999999445e-02 2.431648770184198158e-02 2.431206538438296372e-02
2.199999999999999178e-02 2.139647748055888837e-02 2.139372097670399001e-02
1.899999999999998912e-02 1.839928463307936510e-02 1.839669436815477219e-02
1.599999999999998646e-02 1.543174472619306473e-02 1.543025739045117244e-02
1.299999999999999767e-02 1.261805310656119450e-02 1.261727557392598384e-02
1.000000000000000021e-02 9.678412638342332938e-03 9.678205134557528802e-03
9.708333333333332704e-03 9.399366904872762801e-03 9.399181179975022241e-03
9.416666666666666935e-03 9.129401197336644083e-03 9.129227588614253000e-03
9.124999999999999431e-03 8.819619012301172997e-03 8.819471640112857419e-03
8.833333333333333662e-03 8.563967616101977182e-03 8.563831937621065038e-03
8.541666666666666158e-03 8.272976717317106349e-03 8.272860155982384930e-03
8.250000000000000389e-03 8.004697067462726232e-03 8.004592134114451793e-03
7.958333333333332885e-03 7.692635947936587483e-03 7.692546987845262814e-03
7.666666666666667115e-03 7.439416630117281180e-03 7.439333869892569666e-03
7.374999999999999611e-03 7.126813899871849850e-03 7.126747244025181255e-03
7.083333333333333842e-03 6.862372172280965799e-03 6.862313457642690330e-03
6.791666666666666338e-03 6.584918097261483090e-03 6.584866524362923725e-03
6.499999999999999702e-03 6.294209413761043918e-03 6.294168826712452126e-03
6.208333333333333065e-03 6.016002659158391393e-03 6.015970705982047820e-03
5.916666666666666428e-03 5.726551287477197293e-03 5.726524385329472520e-03
5.624999999999999792e-03 5.441740812200969273e-03 5.441719189297228310e-03
5.333333333333333155e-03 5.155645892936347625e-03 5.155629304743715620e-03
5.041666666666666519e-03 4.887593459769403945e-03 4.887579795370588370e-03
4.749999999999999882e-03 4.589552815422620266e-03 4.589530620308904588e-03
4.458333333333333245e-03 4.321875175614889146e-03 4.321868229657377727e-03
4.166666666666666609e-03 4.034828565493451397e-03 4.034824480656598947e-03
