h h1nat hybridstab
2.999999999999999889e-01 4.337398651221150425e-01 4.302634952667228618e-01
1.999999999999999833e-01 2.665052120461591234e-01 2.652098831497927134e-01
1.000000000000000056e-01 1.192621616068285650e-01 1.191628602327688274e-01
9.700000000000000289e-02 1.153134614445942147e-01 1.152394875794745671e-01
9.400000000000000022e-02 1.101485794045553718e-01 1.100340095008743996e-01
9.099999999999999756e-02 1.068655821927083499e-01 1.067904558683012706e-01
8.800000000000000877e-02 1.048885995013977002e-01 1.048294139980216338e-01
8.500000000000000611e-02 1.016351656046147883e-01 1.015475611816843565e-01
8.200000000000000344e-02 9.464830216919115080e-02 9.460377533601381506e-02
7.900000000000000078e-02 9.077684466780423789e-02 9.073200446515844453e-02
7.599999999999999811e-02 8.771586817133031344e-02 8.768171559299109408e-02
7.300000000000000933e-02 8.451329991402456443e-02 8.447811939881373633e-02
7.000000000000000666e-02 8.114739576150442613e-02 8.112067310501827611e-02
6.700000000000000400e-02 7.709266291738794963e-02 7.706402227932365734e-02
6.400000000000000133e-02 7.406564063199833070e-02 7.403024275517240682e-02
6.099999999999999867e-02 7.083745243753414300e-02 7.081993783262720277e-02
5.799999999999999600e-02 6.647957624228442719e-02 6.646522195216879314e-02
5.500000000000000028e-02 6.327381917304097936e-02 6.326101075455016487e-02
5.199999999999999761e-02 5.953876083688727089e-02 5.952859289731915471e-02
4.899999999999999495e-02 5.557208720293545234e-02 5.556374869613395912e-02
4.599999999999999922e-02 5.188993692199956459e-02 5.188312359459093526e-02
4.299999999999999656e-02 4.885687374582553533e-02 4.885160518988229672e-02
3.999999999999999389e-02 4.547878910222923066e-02 4.547458785920551610e-02
3.699999999999999123e-02 4.189041246540814445e-02 4.188718730391365747e-02
3.399999999999998856e-02 3.842466095630679007e-02 3.842229296379323644e-02
3.099999999999999978e-02 3.517804882871065908e-02 3.517628574918482687e-02
2.799999999999999711e-02 3.162583834984561415e-02 3.162474240838458045e-02
2.499999999999999445e-02 2.822093430935108949e-02 2.822020310021277831e-02
2.199999999999999178e-02 2.469202397302640989e-02 2.469162111978714935e-02
1.899999999999998912e-02 2.128122233574073971e-02 2.128087998474477785e-02
1.599999999999998646e-02 1.793762018638011407e-02 1.793747011117027487e-02
1.299999999999999767e-02 1.463436064885322539e-02 1.463431638654956284e-02
1.000000000000000021e-02 1.120196605354743281e-02 1.120199702471275441e-02
9.708333333333332704e-03 1.087665551177709709e-02 1.087668743637124590e-02
9.416666666666666935e-03 1.056693756159448640e-02 1.056696906813240494e-02
9.124999999999999431e-03 1.022965217329363172e-02 1.022968553935341314e-02
8.833333333333333662e-03 9.897224273389418348e-03 9.897256657009204095e-03
8.541666666666666158e-03 9.572930441607431507e-03 9.572963622707571577e-03
8.250000000000000389e-03 9.266504671490980935e-03 9.266536850334562009e-03
7.958333333333332885e-03 8.922643005325690477e-03 8.922675682461009283e-03
7.666666666666667115e-03 8.595229602371716113e-03 8.595260629811770844e-03
7.374999999999999611e-03 8.257943920840667834e-03 8.257975169173755597e-03
7.083333333333333842e-03 7.941887128231758450e-03 7.941916809416563541e-03
6.791666666666666338e-03 7.619435132810129137e-03 7.619463410695439393e-03
6.499999999999999702e-03 7.285268710054458065e-03 7.285296440803820661e-03
6.208333333333333065e-03 6.960515756428900004e-03 6.960542328876309116e-03
5.916666666666666428e-03 6.630873390926062157e-03 6.630898423376509719e-03
5.624999999999999792e-03 6.305072195175868630e-03 6.305095693263727819e-03
5.333333333333333155e-03 5.971282020576235659e-03 5.971304103300541059e-03
5.041666666666666519e-03 5.652278455403256067e-03 5.652298732633401906e-03
4.749999999999999882e-03 5.318637120342676987e-03 5.318653588629239544e-03
4.458333333333333245e-03 4.999228354744543294e-03 4.999245308262211147e-03
4.166666666666666609e-03 4.668945645276894284e-03 4.668961059867486087e-03
