h h1nat hybridstab
2.999999999999999889e-01 3.273370809319414154e-01 2.158217843144870640e-01
1.999999999999999833e-01 1.052599345367963291e-01 8.388928067752755846e-02
1.000000000000000056e-01 2.920804158692550875e-02 1.269215507257540239e-02
9.700000000000000289e-02 2.872434345546576728e-01 1.686953529774439312e-02
9.400000000000000022e-02 7.549949345675840973e-02 1.140358445685698933e-02
9.099999999999999756e-02 2.037524395360658380e-02 9.317972213649000288e-03
8.800000000000000877e-02 4.650981367246048714e-02 7.794516396599373599e-03
8.500000000000000611e-02 1.481511871433288940e-01 7.746177755298815602e-03
8.200000000000000344e-02 1.409536673898185988e-02 8.870851685902566425e-03
7.900000000000000078e-02 1.531933347363360030e-02 5.407785116391058272e-03
7.599999999999999811e-02 8.446809966706301381e-03 5.216824938348667978e-03
7.300000000000000933e-02 4.087592533231386438e-02 4.907852642978511454e-03
7.000000000000000666e-02 1.429786928409488601e-02 5.394641599779074863e-03
6.700000000000000400e-02 9.200006730698075119e-03 3.289011172081923468e-03
6.400000000000000133e-02 4.793629505276064684e-02 3.101910991591790706e-03
6.099999999999999867e-02 1.200485934774445963e-02 2.479719827196485375e-03
5.799999999999999600e-02 5.092228519708891232e-03 2.866581881321538308e-03
5.500000000000000028e-02 4.113720366388770415e-03 2.376871681908351852e-03
5.199999999999999761e-02 3.037893408313182587e-03 1.539538994764082973e-03
4.899999999999999495e-02 4.883810101530649921e-03 1.282789912368753789e-03
4.599999999999999922e-02 4.443961706513739618e-03 1.077249462203570297e-03
4.299999999999999656e-02 3.717548390372126324e-03 8.778144936678395531e-04
3.999999999999999389e-02 2.271669113541048557e-03 7.600491299556036244e-04
3.699999999999999123e-02 1.246092022913804177e-03 6.171815927257135207e-04
3.399999999999998856e-02 1.135008104584183612e-03 6.042530486000877296e-04
3.099999999999999978e-02 8.375127204400552696e-04 4.729460006732064668e-04
2.799999999999999711e-02 7.327609813662021125e-04 3.086953926820236145e-04
2.499999999999999445e-02 1.538575024292226576e-03 2.412244727825685266e-04
2.199999999999999178e-02 3.444137877517565449e-02 1.986308026360141172e-04
1.899999999999998912e-02 2.302041846312024090e-02 1.289749932625509996e-04
1.599999999999998646e-02 1.857923140776632904e-04 8.829752841442827373e-05
