h H1 IF tnorm L2
4.000000000000000222e-01 1.880779642900809179e-01 3.549578671049301581e-01 1.353336863259217537e+00 1.346849559603915114e-01
3.500000000000000333e-01 5.253480081258457557e-02 1.358671496258793410e-01 8.913221471966517040e-01 1.695857482948717396e-02
2.999999999999999889e-01 1.708282556398484642e-01 3.385466991336393838e-01 1.555252226661352877e+00 1.062862253723617645e-01
2.500000000000000000e-01 6.468067496251181381e-02 1.756867502372221890e-01 7.346266800705594235e-01 3.188585190853824441e-02
1.999999999999999833e-01 2.660086957028380897e-02 1.020633133163459383e-01 3.747836567630288274e-01 8.378875286554784280e-03
1.499999999999999667e-01 3.348760266843996136e-02 1.232076775831280058e-01 1.618335316613968566e-01 1.269334534489036971e-02
1.000000000000000056e-01 2.278059588808883928e-02 1.002613575847279559e-01 8.330816850915093164e-02 7.760034304271241738e-03
9.619565217391304324e-02 4.963258346363810802e-03 3.332109165595049244e-02 5.780253799838406398e-02 9.866895715280863711e-04
9.239130434782609480e-02 7.676726256623757870e-03 4.921882084569231125e-02 4.765793781491448056e-02 2.714795927539622247e-03
8.858695652173913249e-02 4.649360206086208813e-03 3.453143012471922291e-02 4.619098107324029479e-02 1.254092531217234100e-03
8.478260869565218405e-02 5.901686518679032621e-03 4.195834882116002834e-02 4.025166011254805581e-02 2.044069532190910619e-03
8.097826086956522174e-02 3.495298384930417817e-03 2.796181197422747608e-02 3.782782377913521121e-02 7.746399301942508706e-04
7.717391304347825942e-02 2.596651889610101464e-03 2.132662075592844930e-02 3.004412030802667763e-02 4.489791255080702575e-04
7.336956521739131099e-02 3.843362196092495880e-03 3.105967590667065362e-02 2.746117814816888617e-02 1.012641834254741349e-03
6.956521739130434867e-02 2.346706307134706175e-03 2.105187640406662800e-02 2.745135720829696216e-02 4.404850949408728802e-04
6.576086956521740023e-02 2.133627121995135701e-03 2.078358849535790615e-02 2.432163281435822597e-02 4.650668312454561844e-04
6.195652173913043792e-02 2.485356300422322199e-03 2.275552251969619952e-02 2.159555967687886574e-02 5.123408014220759638e-04
5.815217391304348254e-02 1.486939957433047830e-03 1.575314671266811115e-02 1.876812022372420855e-02 2.628548524955984472e-04
5.434782608695652717e-02 1.320552494278058164e-03 1.451573042456702836e-02 1.590726049380731047e-02 2.179406427431733722e-04
5.054347826086957179e-02 1.363632402872720899e-03 1.582546536574287732e-02 1.349474413977531408e-02 2.914025744818622135e-04
4.673913043478260948e-02 1.044340330577190777e-03 1.364372437687472184e-02 1.128103946013620310e-02 2.179869783427752111e-04
4.293478260869565410e-02 8.721096574131992178e-04 1.192667754642044720e-02 9.543429843187411360e-03 1.554497244546512117e-04
3.913043478260869873e-02 1.400076881638504704e-03 1.767582541693997478e-02 7.559824100816511967e-03 4.253992291060435687e-04
3.532608695652174335e-02 7.623110710579328667e-04 1.184744504137266903e-02 6.461544346447425057e-03 1.661400234874431153e-04
3.152173913043478104e-02 1.197527266374142892e-03 1.593341698261429781e-02 4.948502405077020994e-03 3.166451676479777500e-04
2.771739130434783260e-02 1.069214387520501987e-03 1.471950533929013843e-02 3.814693687246378372e-03 2.717389225439018866e-04
2.391304347826087029e-02 1.187714427296997352e-03 1.540445140522755246e-02 2.783107412994112375e-03 3.172739859371526898e-04
2.010869565217392185e-02 1.231424110139919814e-03 1.552577021210711783e-02 1.948545947560324353e-03 3.385881984627899487e-04
1.630434782608695954e-02 1.206729949107246706e-03 1.495570813741979761e-02 1.290797257097462455e-03 3.148373408435001740e-04
1.250000000000000069e-02 1.177621514910036273e-03 1.441054431494733813e-02 7.523032049049289179e-04 3.035318491440110243e-04
