h H1 IF tnorm L2
4.000000000000000222e-01 2.048447803224481556e-01 3.769394515372205268e-01 1.337019896378800698e+00 1.490024203383408796e-01
3.500000000000000333e-01 1.798014562647637371e-01 3.626851192471553520e-01 8.846885917670749278e-01 1.326625938193013443e-01
2.999999999999999889e-01 1.665773749435071893e-01 3.366781448588037073e-01 8.331501492075916726e-01 1.217037773307683285e-01
2.500000000000000000e-01 1.730646541833851526e-01 3.404763611283200819e-01 5.524930398532312825e-01 1.290131121780939416e-01
1.999999999999999833e-01 1.336088968691981627e-01 2.936752485663085555e-01 3.331019040143458620e-01 1.000738923536968333e-01
1.499999999999999667e-01 9.901884729057773560e-02 2.422918848369546574e-01 1.346407227689428165e-01 7.412584459920690261e-02
1.000000000000000056e-01 4.236082597310694003e-02 1.619417217288943167e-01 5.647343498784808402e-02 3.171163615093689631e-02
9.619565217391304324e-02 3.590450695675422021e-02 1.330415295100654816e-01 4.936701311454645691e-02 2.681965005635794305e-02
9.239130434782609480e-02 3.168380189983932560e-02 1.210842761648593668e-01 4.480648380115693358e-02 2.372260616076182771e-02
8.858695652173913249e-02 2.892879486566289973e-02 1.164738025091146129e-01 4.125996943574185977e-02 2.167446687274001207e-02
8.478260869565218405e-02 2.228762355484591173e-02 9.979807864695031117e-02 3.855713073718222000e-02 1.668375151158874373e-02
8.097826086956522174e-02 2.123869439861145875e-02 9.948126675788064588e-02 3.392341220839781984e-02 1.584416899788911384e-02
7.717391304347825942e-02 1.699986795432891981e-02 8.597935313749224817e-02 2.812332630903191868e-02 1.256628688555162625e-02
7.336956521739131099e-02 1.373972968273061077e-02 7.762690569083773029e-02 2.683230215779170216e-02 1.014948360457184826e-02
6.956521739130434867e-02 1.252444777321620913e-02 7.426847587026691455e-02 2.546307434787978621e-02 9.228478067960593778e-03
6.576086956521740023e-02 9.925269776341944308e-03 6.547074363805716057e-02 2.286333420382612863e-02 7.292859942996162553e-03
6.195652173913043792e-02 8.418098874942494050e-03 5.909442570881875967e-02 2.088151180941512711e-02 6.009382307417808836e-03
5.815217391304348254e-02 6.588063821893690164e-03 5.176743498187569292e-02 1.792618748408274926e-02 4.701977294382807607e-03
5.434782608695652717e-02 5.326401563256238231e-03 4.562504574685317948e-02 1.522807601994794792e-02 3.719248221533634838e-03
5.054347826086957179e-02 4.617280264042319775e-03 3.974721229249893878e-02 1.335106986463932555e-02 2.891775466419811268e-03
4.673913043478260948e-02 3.188577288039169937e-03 3.403697041670533663e-02 1.092527594438113397e-02 2.117594486734945304e-03
4.293478260869565410e-02 2.687561738404100654e-03 2.994933435857105933e-02 9.299333942528327859e-03 1.602832381798996713e-03
3.913043478260869873e-02 1.464066385968176669e-03 2.217461009496001292e-02 7.554735239308506961e-03 9.976957329010376508e-04
3.532608695652174335e-02 1.798197160247171078e-03 2.279708677116875845e-02 6.347665158976223410e-03 8.984251989243967080e-04
3.152173913043478104e-02 1.763217017276869688e-03 2.175983374237742268e-02 4.883124665113163301e-03 7.546167391679266820e-04
2.771739130434783260e-02 1.341874227681729434e-03 1.849192359824974180e-02 3.770860944410059715e-03 5.485833997508691821e-04
2.391304347826087029e-02 1.372613163573169724e-03 1.812418492077989829e-02 2.767093096024139144e-03 5.257606575200712753e-04
2.010869565217392185e-02 1.290729349086793551e-03 1.718598162485562506e-02 1.938686211796768069e-03 4.822259875374087525e-04
1.630434782608695954e-02 9.751899818575427564e-04 1.447476888373264332e-02 1.282346607450220296e-03 3.457069701654290447e-04
1.250000000000000069e-02 7.807840101431330485e-04 1.247520607798788608e-02 7.483472586319608010e-04 2.615952525630775398e-04
