h Galerkin-inner Galerkin-outer Hybridstab-outer Hybridstab-inner
8.000000000000000444e-01 8.262293918470282605e+00 1.745259225370877409e+00 1.520708241546794071e+00 1.735750251818854561e+00
7.000000000000000666e-01 1.054257682168017674e+01 2.421172031898537913e+00 1.735302010051483768e+00 1.586269312460227843e+00
5.999999999999999778e-01 6.596733981500389810e+00 1.320672487174540111e+00 1.052175772025106149e+00 1.105628727004506207e+00
5.000000000000000000e-01 6.322828257943363006e+00 1.220638091729951968e+00 8.004158035175683583e-01 1.022739962743155262e+00
3.999999999999999667e-01 3.186442187116860225e+00 9.459384704626768725e-01 5.678002284336169936e-01 1.161280932829984458e+00
2.999999999999999334e-01 1.478571457729326433e+01 8.505335559104594267e-01 2.182830996794279665e-01 5.316062048256487982e-01
2.000000000000000111e-01 1.809530530876221954e+00 7.355539440190234091e-01 9.685309309496525909e-02 1.365136784886929466e-01
1.833333333333333481e-01 2.507483508452208465e+00 6.965468088204251895e-01 6.787151954874010018e-02 9.870089023631183067e-02
1.666666666666666852e-01 1.007214137393694475e+00 6.501481651585274690e-01 5.890501991976989510e-02 7.424595587971126454e-02
1.500000000000000222e-01 1.156101705901126264e+00 6.260466744733623745e-01 4.270816673930085544e-02 5.194326235048971757e-02
1.333333333333333592e-01 6.767754667909150479e-01 5.625336318631005694e-01 2.974369818337808946e-02 3.278403330519408937e-02
1.166666666666666824e-01 2.706618869360312374e+00 5.049222723461065376e-01 2.098089570360321329e-02 2.317569834193579023e-02
1.000000000000000056e-01 5.323461712643916544e-01 4.405991329848922278e-01 1.469052911952342319e-02 1.651364950967276410e-02
9.687500000000000278e-02 4.608299296275488732e-01 4.310940620678165858e-01 1.349391982268911133e-02 1.768785222090569348e-02
9.375000000000000000e-02 8.338395271952934173e-01 4.155502831078526915e-01 1.263501556650024893e-02 1.229200691710584381e-02
9.062500000000001110e-02 4.220681525295399972e-01 4.051761464640263877e-01 1.178729750363677158e-02 1.267801960562792672e-02
8.750000000000000833e-02 4.089826725803239471e-01 3.930141084037175880e-01 1.068479662391151087e-02 1.116623100223783534e-02
8.437500000000000555e-02 1.022839441376892200e+00 3.803446326314209314e-01 9.760263938160042632e-03 1.068938202470734802e-02
8.125000000000000278e-02 3.727458999870819634e-01 3.682461305432805365e-01 9.139713133621898966e-03 9.014453822825665638e-03
7.812500000000000000e-02 3.473577786943741197e-01 3.542153581357204706e-01 8.445251564263711250e-03 8.927465721332603771e-03
7.499999999999999722e-02 4.099778832201775858e-01 3.406407123101476975e-01 7.594717400684245293e-03 8.419377817676239675e-03
7.187499999999999445e-02 3.231575784152418973e-01 3.285128448375674304e-01 7.024843446073178628e-03 7.439319597219751744e-03
6.875000000000000555e-02 3.656055285796464549e-01 3.143364750080181458e-01 6.267727280004033695e-03 6.367645329388207584e-03
6.562499999999998890e-02 2.941754902188477017e-01 3.017725558045938894e-01 5.624349598273546864e-03 6.359181867468767166e-03
6.250000000000000000e-02 2.838946107910066408e-01 2.884362398126293359e-01 5.109105351162514068e-03 5.695049753340983983e-03
5.937499999999999722e-02 2.682115312533573381e-01 2.749424760765631914e-01 4.600918254038684901e-03 4.939380769735832524e-03
5.624999999999999445e-02 2.545438354488215871e-01 2.610297137248284161e-01 4.156696367503659971e-03 4.424294957419372572e-03
5.312499999999999861e-02 9.836570297633476789e-01 2.473866237967925485e-01 3.679544617462328100e-03 3.505111773601615049e-03
4.999999999999999584e-02 4.540465926319565138e-01 2.332865006644851968e-01 3.258198701619695846e-03 3.069143881192396266e-03
4.687499999999999306e-02 2.119880520886611996e-01 2.193857239132595838e-01 2.863094599937118269e-03 2.902736759397374789e-03
4.374999999999999722e-02 2.002048312064801661e-01 2.050400552934336096e-01 2.458993217438701188e-03 2.331969178268934045e-03
4.062499999999999445e-02 1.914708841280733653e-01 1.908579726489832984e-01 2.097458263839207387e-03 2.053952875695245865e-03
