h Galerkin-inner Galerkin-outer Hybridstab-outer Hybridstab-inner
8.000000000000000444e-01 4.079849485012738697e+00 1.282068679336896055e+00 1.222727541110002702e+00 1.301688506616300867e+00
7.000000000000000666e-01 7.183629285967276346e+00 1.121475662205114077e+00 1.085557830758608011e+00 1.151146756746711519e+00
5.999999999999999778e-01 5.613223901871543298e+00 9.080540959756867592e-01 8.417738994586976276e-01 9.341316214634124426e-01
5.000000000000000000e-01 4.806315317394092901e+00 6.455185680280313143e-01 6.301763016290145014e-01 8.770728048587319581e-01
3.999999999999999667e-01 1.742252936042646194e+00 3.947266151966821179e-01 3.446474746625513563e-01 8.403898579981032846e-01
2.999999999999999334e-01 1.214676448426285305e+01 3.092540654946437928e-01 1.694967385461331466e-01 4.620298096879459360e-01
2.000000000000000111e-01 1.097356111172794524e+00 1.400906247774077462e-01 5.516087422837076537e-02 9.388302929186140289e-02
1.833333333333333481e-01 1.814639559175890149e+00 1.519584792022182218e-01 4.920750241918937784e-02 7.802197340571187523e-02
1.666666666666666852e-01 5.814133084416307495e-01 1.008418662402481153e-01 4.155210465399794550e-02 5.140934931430846816e-02
1.500000000000000222e-01 6.802467538834998662e-01 9.714669103166927167e-02 3.064807482904511118e-02 3.438842820367065539e-02
1.333333333333333592e-01 2.915400249219794460e-01 8.219683431521068728e-02 2.269656433604501714e-02 2.047258911323566327e-02
1.166666666666666824e-01 1.078134070193187188e+00 7.272589560889797244e-02 1.734533991321958804e-02 1.704692428338766205e-02
1.000000000000000056e-01 2.240127894272372633e-01 5.881585711439534653e-02 1.298653037424198423e-02 1.372064867076801774e-02
9.687500000000000278e-02 1.396708384733588160e-01 5.733046800665059922e-02 1.193853235883218615e-02 1.550482307812494319e-02
9.375000000000000000e-02 5.635170130007285394e-01 5.482977620028141319e-02 1.149414843886055818e-02 1.003485131390804280e-02
9.062500000000001110e-02 1.518892617340420748e-01 5.423818196180684587e-02 1.072111089785212149e-02 1.080074325848131775e-02
8.750000000000000833e-02 1.229475316885348390e-01 5.071283400340201308e-02 9.740115747796547485e-03 9.467292518346518901e-03
8.437500000000000555e-02 5.213265249705943960e-01 5.028378680858838073e-02 8.990827577104225365e-03 9.386107989466440510e-03
8.125000000000000278e-02 8.737474282486340504e-02 4.861215061536919291e-02 8.477883045788869518e-03 7.756003546727260715e-03
7.812500000000000000e-02 5.283819712343442582e-02 4.634394072031830514e-02 7.934104248860819955e-03 8.033490462047926731e-03
7.499999999999999722e-02 1.809000783623570252e-01 4.490199636070452832e-02 7.176549334728257214e-03 7.722938963358533943e-03
7.187499999999999445e-02 5.228988114645445606e-02 4.348182958469021253e-02 6.685851047081062606e-03 6.846406131399919784e-03
6.875000000000000555e-02 1.759812078727525098e-01 4.005104173557813563e-02 6.003165425726979254e-03 5.883683542729663957e-03
6.562499999999998890e-02 4.272242211723954741e-02 3.945404056960152839e-02 5.414755692132537310e-03 6.016879692934734916e-03
6.250000000000000000e-02 5.395482331286420574e-02 3.927388422660475081e-02 4.944195841616763447e-03 5.423475292701407033e-03
5.937499999999999722e-02 4.403028123712719732e-02 3.489615164188514945e-02 4.475927037561013531e-03 4.725064400329550066e-03
5.624999999999999445e-02 4.316614303058984026e-02 3.526518428296882002e-02 4.065946372946912038e-03 4.266803185369070356e-03
5.312499999999999861e-02 6.947629097497238782e-01 3.172838385966931379e-02 3.613199178843663501e-03 3.375641477980397855e-03
4.999999999999999584e-02 3.347431539593788141e-01 3.188421188954296270e-02 3.210630581543583162e-03 2.975012981176481178e-03
4.687499999999999306e-02 3.012410691670500476e-02 2.696173046252906338e-02 2.829968195343725117e-03 2.842747232546113945e-03
4.374999999999999722e-02 4.368339933192182112e-02 2.615656747978818003e-02 2.436131396510688666e-03 2.287941876820029710e-03
4.062499999999999445e-02 5.471832089872430416e-02 2.136847794427016237e-02 2.082728504866989631e-03 2.025726902786834267e-03
