h Galerkin-inner Galerkin-outer Hybridstab-outer Hybridstab-inner
8.000000000000000444e-01 3.045127569879165996e+00 5.231892637366837295e-01 7.770600286744031582e-01 1.216417078801267149e+00
7.000000000000000666e-01 6.765461505596086944e+00 4.218548288406578362e-01 7.894459294726684506e-01 1.249118013669326066e+00
5.999999999999999778e-01 3.943225959300838745e+00 2.417081229403804377e-01 1.343857472216867688e+00 2.195098020794456151e+00
5.000000000000000000e-01 3.144030677306751009e+00 2.107594113135710379e-01 9.953499590985045442e-01 1.629334489620459347e+00
3.999999999999999667e-01 5.485639235330305175e-01 4.348540475940843725e-02 6.692625850771091733e-02 9.986530855347336422e-02
2.999999999999999334e-01 1.597118215903865490e+00 1.530418399294494053e-02 2.059130724272917323e-02 3.468826324538284295e-02
2.000000000000000111e-01 1.723998158034595052e-01 5.304244430593992379e-03 5.291748261313156641e-03 5.788061860940254579e-03
1.833333333333333481e-01 8.996715187426852500e-01 5.110080067521265840e-03 4.461615970425772230e-03 5.292190068705542559e-03
1.666666666666666852e-01 3.712062061246637623e-01 3.916808519268917717e-03 3.851452495519134839e-03 3.605237211429634502e-03
1.500000000000000222e-01 3.265125039088194459e-02 2.298541176959404027e-03 2.311116019304463188e-03 2.641938618112554121e-03
1.333333333333333592e-01 1.373863795598077343e-02 1.492134589246053855e-03 1.495378157937318720e-03 1.015299792734173766e-03
1.166666666666666824e-01 3.883957541884474618e-01 1.046142345862946261e-03 1.006767639086494220e-03 1.213551452013024662e-03
1.000000000000000056e-01 7.213702051368961823e-03 6.595955235096829941e-04 6.593219778560240572e-04 8.136039349220790815e-04
9.687500000000000278e-02 8.734477311502501784e-03 5.769310971206875055e-04 5.773247241160339976e-04 7.066080155634994449e-04
9.375000000000000000e-02 2.263266929555172655e-02 5.495640763687239519e-04 5.500020766849679022e-04 6.314850616062078629e-04
9.062500000000001110e-02 1.232993795681438520e-01 4.971594579543796603e-04 4.946792823586583033e-04 5.323294151164864379e-04
8.750000000000000833e-02 3.334656103426565567e-03 4.256463734344052082e-04 4.257710391827579767e-04 3.864356729788251963e-04
8.437500000000000555e-02 3.196025124465887157e-03 3.788736741370620398e-04 3.789963543937473547e-04 4.337154059616089917e-04
8.125000000000000278e-02 3.732828938263567202e-03 3.468394721763797461e-04 3.469482852213879838e-04 3.556851689714259426e-04
7.812500000000000000e-02 5.555358335963905825e-03 3.149618207369859102e-04 3.150439845933828841e-04 3.662949438558035461e-04
7.499999999999999722e-02 2.698008794553273439e-03 2.699694846951855749e-04 2.700771096275220899e-04 3.016846503763589765e-04
7.187499999999999445e-02 9.251175478908231367e-04 2.434651831216486507e-04 2.435646714243489138e-04 2.063279062046190942e-04
6.875000000000000555e-02 6.857954958068881697e-04 2.068823103296294819e-04 2.069261563301861998e-04 2.471619176068880165e-04
6.562499999999998890e-02 1.206238863833000892e-03 1.781887595737799272e-04 1.782226609831076460e-04 1.927207890675931780e-04
6.250000000000000000e-02 2.095692157542720750e-03 1.546567528656032518e-04 1.546887677800971156e-04 2.053401173364301864e-04
5.937499999999999722e-02 7.982881086449553076e-04 1.336531038706509475e-04 1.337075681375630358e-04 1.692007540327906533e-04
